리소스 행 ID,리소스 ID,규격,파일 경로
33,RES_CHR_011,PT,img/character/CHR_011_PT.png
34,RES_CHR_012,ST_F,img/character/CHR_012_ST_F.png
35,RES_CHR_012,ST_B,img/character/CHR_012_ST_B.png
36,RES_CHR_012,PT,img/character/CHR_012_PT.png
37,RES_CHR_013,ST_F,img/character/CHR_013_ST_F.png
38,RES_CHR_013,ST_B,img/character/CHR_013_ST_B.png
39,RES_CHR_013,PT,img/character/CHR_013_PT.png
40,RES_CHR_014,ST_F,img/character/CHR_014_ST_F.png
41,RES_CHR_014,ST_B,img/character/CHR_014_ST_B.png
42,RES_CHR_014,PT,img/character/CHR_014_PT.png
43,RES_CHR_015,ST_F,img/character/CHR_015_ST_F.png
44,RES_CHR_015,ST_B,img/character/CHR_015_ST_B.png
45,RES_CHR_015,PT,img/character/CHR_015_PT.png
46,RES_CHR_016,ST_F,img/character/CHR_016_ST_F.png
47,RES_CHR_016,ST_B,img/character/CHR_016_ST_B.png
48,RES_CHR_016,PT,img/character/CHR_016_PT.png
49,RES_CHR_017,ST_F,img/character/CHR_017_ST_F.png
50,RES_CHR_017,ST_B,img/character/CHR_017_ST_B.png
51,RES_CHR_017,PT,img/character/CHR_017_PT.png
52,RES_CHR_018,ST_F,img/character/CHR_018_ST_F.png
53,RES_CHR_018,ST_B,img/character/CHR_018_ST_B.png
54,RES_CHR_018,PT,img/character/CHR_018_PT.png
55,RES_CHR_019,ST_F,img/character/CHR_019_ST_F.png
56,RES_CHR_019,ST_B,img/character/CHR_019_ST_B.png
57,RES_CHR_019,PT,img/character/CHR_019_PT.png
58,RES_CHR_020,ST_F,img/character/CHR_020_ST_F.png
59,RES_CHR_020,ST_B,img/character/CHR_020_ST_B.png
60,RES_CHR_020,PT,img/character/CHR_020_PT.png
61,RES_CHR_021,ST_F,img/character/CHR_021_ST_F.png
62,RES_CHR_021,ST_B,img/character/CHR_021_ST_B.png
63,RES_CHR_021,PT,img/character/CHR_021_PT.png
64,RES_CHR_022,ST_F,img/character/CHR_022_ST_F.png
65,RES_CHR_022,ST_B,img/character/CHR_022_ST_B.png
66,RES_CHR_022,PT,img/character/CHR_022_PT.png
67,RES_CHR_023,ST_F,img/character/CHR_023_ST_F.png
68,RES_CHR_023,ST_B,img/character/CHR_023_ST_B.png
69,RES_CHR_023,PT,img/character/CHR_023_PT.png
70,RES_CHR_024,ST_F,img/character/CHR_024_ST_F.png
71,RES_CHR_024,ST_B,img/character/CHR_024_ST_B.png
72,RES_CHR_024,PT,img/character/CHR_024_PT.png
73,RES_CHR_025,ST_F,img/character/CHR_025_ST_F.png
74,RES_CHR_025,ST_B,img/character/CHR_025_ST_B.png
75,RES_CHR_025,PT,img/character/CHR_025_PT.png
76,RES_CHR_026,ST_F,img/character/CHR_026_ST_F.png
77,RES_CHR_026,ST_B,img/character/CHR_026_ST_B.png
78,RES_CHR_026,PT,img/character/CHR_026_PT.png
79,RES_CHR_027,ST_F,img/character/CHR_027_ST_F.png
80,RES_CHR_027,ST_B,img/character/CHR_027_ST_B.png
81,RES_CHR_027,PT,img/character/CHR_027_PT.png
82,RES_CHR_028,ST_F,img/character/CHR_028_ST_F.png
83,RES_CHR_028,ST_B,img/character/CHR_028_ST_B.png
84,RES_CHR_028,PT,img/character/CHR_028_PT.png
85,RES_CHR_029,ST_F,img/character/CHR_029_ST_F.png
86,RES_CHR_029,ST_B,img/character/CHR_029_ST_B.png
87,RES_CHR_029,PT,img/character/CHR_029_PT.png
88,RES_CHR_030,ST_F,img/character/CHR_030_ST_F.png
89,RES_CHR_030,ST_B,img/character/CHR_030_ST_B.png
90,RES_CHR_030,PT,img/character/CHR_030_PT.png
91,RES_CHR_031,ST_F,img/character/CHR_031_ST_F.png
92,RES_CHR_031,ST_B,img/character/CHR_031_ST_B.png
93,RES_CHR_031,PT,img/character/CHR_031_PT.png
94,RES_CHR_032,ST_F,img/character/CHR_032_ST_F.png
95,RES_CHR_032,ST_B,img/character/CHR_032_ST_B.png
96,RES_CHR_032,PT,img/character/CHR_032_PT.png
97,RES_CHR_033,ST_F,img/character/CHR_033_ST_F.png
98,RES_CHR_033,ST_B,img/character/CHR_033_ST_B.png
99,RES_CHR_033,PT,img/character/CHR_033_PT.png
100,RES_CHR_034,ST_F,img/character/CHR_034_ST_F.png
101,RES_CHR_034,ST_B,img/character/CHR_034_ST_B.png
102,RES_CHR_034,PT,img/character/CHR_034_PT.png
103,RES_CHR_035,ST_F,img/character/CHR_035_ST_F.png
104,RES_CHR_035,ST_B,img/character/CHR_035_ST_B.png
105,RES_CHR_035,PT,img/character/CHR_035_PT.png
106,RES_CHR_036,ST_F,img/character/CHR_036_ST_F.png
107,RES_CHR_036,ST_B,img/character/CHR_036_ST_B.png
108,RES_CHR_036,PT,img/character/CHR_036_PT.png
109,RES_CHR_037,ST_F,img/character/CHR_037_ST_F.png
110,RES_CHR_037,ST_B,img/character/CHR_037_ST_B.png
111,RES_CHR_037,PT,img/character/CHR_037_PT.png
112,RES_CHR_038,ST_F,img/character/CHR_038_ST_F.png
113,RES_CHR_038,ST_B,img/character/CHR_038_ST_B.png
114,RES_CHR_038,PT,img/character/CHR_038_PT.png
115,RES_CHR_039,ST_F,img/character/CHR_039_ST_F.png
116,RES_CHR_039,ST_B,img/character/CHR_039_ST_B.png
117,RES_CHR_039,PT,img/character/CHR_039_PT.png
118,RES_CHR_040,ST_F,img/character/CHR_040_ST_F.png
119,RES_CHR_040,ST_B,img/character/CHR_040_ST_B.png
120,RES_CHR_040,PT,img/character/CHR_040_PT.png
121,RES_CHR_041,ST_F,img/character/CHR_041_ST_F.png
122,RES_CHR_041,ST_B,img/character/CHR_041_ST_B.png
123,RES_CHR_041,PT,img/character/CHR_041_PT.png
124,RES_CHR_042,ST_F,img/character/CHR_042_ST_F.png
125,RES_CHR_042,ST_B,img/character/CHR_042_ST_B.png
126,RES_CHR_042,PT,img/character/CHR_042_PT.png
