스킬 ID,기술 이름,기술 설명,기술 종류,속성,대상,위력,속도 보정,투지 소모,허용 초과,효과 그룹,(이름),(초안),(캐릭터),(원안),(살펴볼 것)
SKL_7020,SKL_7020_NAME,SKL_7020_DESC,passive,,enemy_one,0,,,,EFG_7020,"=IFERROR(VLOOKUP($B63,string!$A:$B,2,FALSE),"""")",초안,CHR_020,속도 차이에 의한 데미지 배율 증 가감(주는 데미지 -30%~+30%)(적 속도-스위피 속도 3 ~ -3),
SKL_1021,SKL_1021_NAME,SKL_1021_DESC,basic,WILD,enemy_one,5,0,,,EFG_1021,"=IFERROR(VLOOKUP($B64,string!$A:$B,2,FALSE),"""")",초안,CHR_021,중독 데미지,중독 → 출혈
SKL_5021,SKL_5021_NAME,SKL_5021_DESC,ultimate,WILD,enemy_one,7,0,3,,EFG_5021,"=IFERROR(VLOOKUP($B65,string!$A:$B,2,FALSE),"""")",초안,CHR_021,단일 강력한 데미지,
SKL_7021,SKL_7021_NAME,SKL_7021_DESC,passive,,enemy_one,0,,,,EFG_7021,"=IFERROR(VLOOKUP($B66,string!$A:$B,2,FALSE),"""")",초안,CHR_021,중독된 적 추가 데미지,중독 → 출혈
SKL_1022,SKL_1022_NAME,SKL_1022_DESC,basic,WILD,enemy_one,8,0,,,EFG_1022,"=IFERROR(VLOOKUP($B67,string!$A:$B,2,FALSE),"""")",초안,CHR_022,시엘라가 지느러미에 숨겨진 독니를 꺼낸다. 대상 한명에게 공격력의 50% 만큼 데미지를 주고 턴당 공격력의 25% 만큼의 데미지를 3턴 동안 준다.,중독 → 출혈
SKL_5022,SKL_5022_NAME,SKL_5022_DESC,ultimate,ARCANE,field_others,7,0,4,,EFG_5022,"=IFERROR(VLOOKUP($B68,string!$A:$B,2,FALSE),"""")",초안,CHR_022,전장에 강력한 용오름을 불러 일으켜 전장을 뒤집는다. 시엘라를 제외한 필드의 모두에게 공격력의 250% 만큼의 데미지를 준다.,
SKL_7022,SKL_7022_NAME,SKL_7022_DESC,passive,,self,0,,,,EFG_7022,"=IFERROR(VLOOKUP($B69,string!$A:$B,2,FALSE),"""")",초안,CHR_022,시엘라에게 가해진 마법데미지의 10%를 대상에게 반사한다.,
SKL_1023,SKL_1023_NAME,SKL_1023_DESC,basic,WILD,enemy_one,3,0,,1,EFG_1023,"=IFERROR(VLOOKUP($B70,string!$A:$B,2,FALSE),"""")",초안,CHR_023,적을 공격하고 적중한 상대의 스피드를 감소시킨다.,
SKL_5023,SKL_5023_NAME,SKL_5023_DESC,ultimate,ARCANE,enemy_all,2,0,4,,EFG_5023,"=IFERROR(VLOOKUP($B71,string!$A:$B,2,FALSE),"""")",초안,CHR_023,"적 전체에게 기절, 아군 전체에게 쇠약",예산 밖 stun
SKL_7023,SKL_7023_NAME,SKL_7023_DESC,passive,,self,0,,,,EFG_7023,"=IFERROR(VLOOKUP($B72,string!$A:$B,2,FALSE),"""")",초안,CHR_023,야성 타입 공격은 0.7배로 신비 타입 공격은 1.3배로 받는다.,
SKL_1024,SKL_1024_NAME,SKL_1024_DESC,basic,ARCANE,enemy_one,9,0,,7,EFG_1024,"=IFERROR(VLOOKUP($B73,string!$A:$B,2,FALSE),"""")",초안,CHR_024,기본 공격이며 30%의 확률로 침묵을 부여한다,확률 30%
SKL_5024,SKL_5024_NAME,SKL_5024_DESC,ultimate,ARCANE,enemy_all,8,0,6,5,EFG_5024,"=IFERROR(VLOOKUP($B74,string!$A:$B,2,FALSE),"""")",초안,CHR_024,"상대방의 방어력,속성 등에 무관하게 고정 피해량 (투지5소모)",
SKL_7024,SKL_7024_NAME,SKL_7024_DESC,passive,,self,0,,,,EFG_7024,"=IFERROR(VLOOKUP($B75,string!$A:$B,2,FALSE),"""")",초안,CHR_024,게임 시작후 7턴이 지나면 자멸한다,퇴장 · 조건 round_after · 전투 시작 시 — 8단계 필요
SKL_1025,SKL_1025_NAME,SKL_1025_DESC,basic,WILD,enemy_one,9,0,,,EFG_1025,"=IFERROR(VLOOKUP($B76,string!$A:$B,2,FALSE),"""")",초안,CHR_025,기본 공격력의 2배의 피해를 준다,
SKL_5025,SKL_5025_NAME,SKL_5025_DESC,ultimate,WILD,enemy_one,6,0,3,,EFG_5025,"=IFERROR(VLOOKUP($B77,string!$A:$B,2,FALSE),"""")",초안,CHR_025,기본 공격력의 3배의 피해를 준다,
SKL_7025,SKL_7025_NAME,SKL_7025_DESC,passive,,self,0,,,,EFG_7025,"=IFERROR(VLOOKUP($B78,string!$A:$B,2,FALSE),"""")",초안,CHR_025,적이 하나 없어질 시 체력의 15% 회복,
SKL_1026,SKL_1026_NAME,SKL_1026_DESC,basic,WILD,enemy_one,5,0,,,EFG_1026,"=IFERROR(VLOOKUP($B79,string!$A:$B,2,FALSE),"""")",초안,CHR_026,대상 기본 공격후 10% 피해 흡혈,
SKL_5026,SKL_5026_NAME,SKL_5026_DESC,ultimate,WILD,enemy_all,4,0,4,,EFG_5026,"=IFERROR(VLOOKUP($B80,string!$A:$B,2,FALSE),"""")",초안,CHR_026,적 단일에게 100% 피해,
SKL_7026,SKL_7026_NAME,SKL_7026_DESC,passive,,self,0,,,,EFG_7026,"=IFERROR(VLOOKUP($B81,string!$A:$B,2,FALSE),"""")",초안,CHR_026,적 사살시 자신에게 체력 10%회복 공격력 1 방어력 1 속도 1 부여,단계 ON_KILL · 예산 밖 boost boost
SKL_1027,SKL_1027_NAME,SKL_1027_DESC,basic,WILD,enemy_one,6,0,,,EFG_1027,"=IFERROR(VLOOKUP($B82,string!$A:$B,2,FALSE),"""")",초안,CHR_027,기본 공격력에 비례한 피해를 주고 30% 확률로 중독시킨다,확률 30% · 중독 → 출혈
SKL_5027,SKL_5027_NAME,SKL_5027_DESC,ultimate,WILD,enemy_one,7,0,3,,EFG_5027,"=IFERROR(VLOOKUP($B83,string!$A:$B,2,FALSE),"""")",초안,CHR_027,거미줄을 발사하여 적에게 피해를 주고 속도를 2 감소시킨다,
SKL_7027,SKL_7027_NAME,SKL_7027_DESC,passive,,self,0,,,,EFG_7027,"=IFERROR(VLOOKUP($B84,string!$A:$B,2,FALSE),"""")",초안,CHR_027,자신보다 속도가 낮은 적에게 받는 데미지 40% 감소,조건 faster_than_target
SKL_1028,SKL_1028_NAME,SKL_1028_DESC,basic,ARCANE,enemy_one,7,0,,5,EFG_1028,"=IFERROR(VLOOKUP($B85,string!$A:$B,2,FALSE),"""")",초안,CHR_028,대상에 피해를 주고 기절시킨다,예산 밖 stun
SKL_5028,SKL_5028_NAME,SKL_5028_DESC,ultimate,ARCANE,ally_all,0,0,2,,EFG_5028,"=IFERROR(VLOOKUP($B86,string!$A:$B,2,FALSE),"""")",초안,CHR_028,아군 하나를 지정하여 회복시킨다,
SKL_7028,SKL_7028_NAME,SKL_7028_DESC,passive,,ally_weakest,0,,,,EFG_7028,"=IFERROR(VLOOKUP($B87,string!$A:$B,2,FALSE),"""")",초안,CHR_028,해 속성인 아군의 공격력 크게 증가,
SKL_1029,SKL_1029_NAME,SKL_1029_DESC,basic,WILD,enemy_one,6,0,,,EFG_1029,"=IFERROR(VLOOKUP($B88,string!$A:$B,2,FALSE),"""")",초안,CHR_029,대상을 칼등으로 쳐서 피해를 준다,
SKL_5029,SKL_5029_NAME,SKL_5029_DESC,ultimate,WILD,enemy_one,7,0,2,,EFG_5029,"=IFERROR(VLOOKUP($B89,string!$A:$B,2,FALSE),"""")",초안,CHR_029,검을 발도하여 피해를 주고 방어력을 감소 시킨다.,
SKL_7029,SKL_7029_NAME,SKL_7029_DESC,passive,,self,0,,,,EFG_7029,"=IFERROR(VLOOKUP($B90,string!$A:$B,2,FALSE),"""")",초안,CHR_029,밤에 전투하는 경우 모든 능력치가 +1 상승,예산 밖 boost boost
SKL_1030,SKL_1030_NAME,SKL_1030_DESC,basic,WILD,enemy_one,9,0,,1,EFG_1030,"=IFERROR(VLOOKUP($B91,string!$A:$B,2,FALSE),"""")",초안,CHR_030,적 1기에게 기본 공격력의 1.15배 피해를 준다,
SKL_5030,SKL_5030_NAME,SKL_5030_DESC,ultimate,WILD,enemy_one,7,0,3,,EFG_5030,"=IFERROR(VLOOKUP($B92,string!$A:$B,2,FALSE),"""")",초안,CHR_030,적의 목덜미를 정확히 관통시켜 1.6배의 피해를 준다(투지 5 소모),
SKL_7030,SKL_7030_NAME,SKL_7030_DESC,passive,,self,0,,,,EFG_7030,"=IFERROR(VLOOKUP($B93,string!$A:$B,2,FALSE),"""")",초안,CHR_030,"자신의 체력이 30% 이하일 때, 속도 +1 빠름",조건 hp_below
SKL_1031,SKL_1031_NAME,SKL_1031_DESC,basic,WILD,enemy_one,8,0,,,EFG_1031,"=IFERROR(VLOOKUP($B94,string!$A:$B,2,FALSE),"""")",초안,CHR_031,적 1명에게 물리 피해를 입힌다.,
SKL_5031,SKL_5031_NAME,SKL_5031_DESC,ultimate,WILD,enemy_one,6,0,3,,EFG_5031,"=IFERROR(VLOOKUP($B95,string!$A:$B,2,FALSE),"""")",초안,CHR_031,"적 1명을 1~3회 연속으로 찔러 물리 피해를 입힌다. 
20%의 확률로 출혈을 부여한다.",확률 20% · 연타
SKL_7031,SKL_7031_NAME,SKL_7031_DESC,passive,WILD,enemy_all,3,,,,EFG_7031,"=IFERROR(VLOOKUP($B96,string!$A:$B,2,FALSE),"""")",초안,CHR_031,"총 체력의 10% 이하로 내려갈 때, 모든 능력치 1.5배 상승",예산 밖 boost boost
SKL_1032,SKL_1032_NAME,SKL_1032_DESC,basic,WILD,enemy_one,3,0,,,EFG_1032,"=IFERROR(VLOOKUP($B97,string!$A:$B,2,FALSE),"""")",초안,CHR_032,하나의 적을 3번 공격한다,연타 · 예산 밖 multihit
SKL_5032,SKL_5032_NAME,SKL_5032_DESC,ultimate,ARCANE,enemy_all,4,0,4,,EFG_5032,"=IFERROR(VLOOKUP($B98,string!$A:$B,2,FALSE),"""")",초안,CHR_032,모든 적에게 1턴의 실명을 준다,실명 · 예산 밖 blind
SKL_7032,SKL_7032_NAME,SKL_7032_DESC,passive,,enemy_one,0,,,,EFG_7032,"=IFERROR(VLOOKUP($B99,string!$A:$B,2,FALSE),"""")",초안,CHR_032,40% 확률로 체력의 5% 피해를 주는 출혈을 입힘,확률 40%
SKL_1033,SKL_1033_NAME,SKL_1033_DESC,basic,WILD,enemy_one,6,0,,,EFG_1033,"=IFERROR(VLOOKUP($B100,string!$A:$B,2,FALSE),"""")",초안,CHR_033,아군 전체의 물리 방어력 1랭크 증가,
SKL_5033,SKL_5033_NAME,SKL_5033_DESC,ultimate,WILD,enemy_one,4,0,2,,EFG_5033,"=IFERROR(VLOOKUP($B101,string!$A:$B,2,FALSE),"""")",,CHR_033,일시적으로 자신의 방어력과 공격력을 전환해 공격한다,전환
SKL_7033,SKL_7033_NAME,SKL_7033_DESC,passive,,self,0,,,,EFG_7033,"=IFERROR(VLOOKUP($B102,string!$A:$B,2,FALSE),"""")",초안,CHR_033,기절에 달하는 피해를 입을 경우 1회는 버틴다,버팀
SKL_1034,SKL_1034_NAME,SKL_1034_DESC,basic,WILD,enemy_one,6,0,,1,EFG_1034,"=IFERROR(VLOOKUP($B103,string!$A:$B,2,FALSE),"""")",초안,CHR_034,적 1명에게 물리 피해를 입힌다. 적에게 표식 2를 부여한다.,
