캐릭터 ID,캐릭터 이름,캐릭터 설명,캐릭터 배경,레퍼런스 종,희귀도,타입,역할군,체력,공격력,물리 방어,마법 방어,속도,스킬 그룹 ID,리소스 ID,(이름),(전투 컨셉),(살펴볼 것)
CHR_014,CHR_014_NAME,CHR_014_DESC,CHR_014_STORY,CHR_014_SPECIES,,SEA,TRICKSTER,8,3,3,9,7,GRP_014,RES_CHR_014,"=IFERROR(VLOOKUP($B17,string!$A:$B,2,FALSE),"""")",CC형 서포터,
CHR_015,CHR_015_NAME,CHR_015_DESC,CHR_015_STORY,CHR_015_SPECIES,,SEA,CHARGER,7,9,4,3,7,GRP_015,RES_CHR_015,"=IFERROR(VLOOKUP($B18,string!$A:$B,2,FALSE),"""")",공격적인  속공딜러.  나와 동일한 속성에게 강한 피해를 준다,
CHR_016,CHR_016_NAME,CHR_016_DESC,CHR_016_STORY,CHR_016_SPECIES,,LAND,HEALER,8,4,5,7,6,GRP_016,RES_CHR_016,"=IFERROR(VLOOKUP($B19,string!$A:$B,2,FALSE),"""")",방벽형 메인탱커,
CHR_017,CHR_017_NAME,CHR_017_DESC,CHR_017_STORY,CHR_017_SPECIES,,LAND,HEALER,9,3,7,8,3,GRP_017,RES_CHR_017,"=IFERROR(VLOOKUP($B20,string!$A:$B,2,FALSE),"""")",자힐 막이 용 로켓몬,
CHR_018,CHR_018_NAME,CHR_018_DESC,CHR_018_STORY,CHR_018_SPECIES,,AIR,ASSASSIN,5,9,4,3,9,GRP_018,RES_CHR_018,"=IFERROR(VLOOKUP($B21,string!$A:$B,2,FALSE),"""")","재빠른 비행과 강한 발톱으로 인해 높은 공격력과 속도를 보여주지만, 맷집이 약하다.",
CHR_019,CHR_019_NAME,CHR_019_DESC,CHR_019_STORY,CHR_019_SPECIES,,AIR,CHARGER,7,8,5,3,7,GRP_019,RES_CHR_019,"=IFERROR(VLOOKUP($B22,string!$A:$B,2,FALSE),"""")",물리적 실체를 가진 망령을 표현한 로켓몬 암살자,
CHR_020,CHR_020_NAME,CHR_020_DESC,CHR_020_STORY,CHR_020_SPECIES,,AIR,ASSASSIN,4,9,5,3,9,GRP_020,RES_CHR_020,"=IFERROR(VLOOKUP($B23,string!$A:$B,2,FALSE),"""")","속도 차이를 통한 데미지 증가, 유리대포",
CHR_021,CHR_021_NAME,CHR_021_DESC,CHR_021_STORY,CHR_021_SPECIES,,LAND,HUNTER,5,9,5,4,7,GRP_021,RES_CHR_021,"=IFERROR(VLOOKUP($B24,string!$A:$B,2,FALSE),"""")",중독 딜러,
CHR_022,CHR_022_NAME,CHR_022_DESC,CHR_022_STORY,CHR_022_SPECIES,,SEA,TRICKSTER,7,5,5,8,5,GRP_022,RES_CHR_022,"=IFERROR(VLOOKUP($B25,string!$A:$B,2,FALSE),"""")",높은 마법 방어력을 가진 마법형 로켓몬,
CHR_023,CHR_023_NAME,CHR_023_DESC,CHR_023_STORY,CHR_023_SPECIES,,SEA,GUARDIAN,9,3,9,5,4,GRP_023,RES_CHR_023,"=IFERROR(VLOOKUP($B26,string!$A:$B,2,FALSE),"""")",높은 체력으로 버티며 적에게 디버프를 넣는 탱커,
CHR_024,CHR_024_NAME,CHR_024_DESC,CHR_024_STORY,CHR_024_SPECIES,,AIR,TRICKSTER,6,3,8,9,4,GRP_024,RES_CHR_024,"=IFERROR(VLOOKUP($B27,string!$A:$B,2,FALSE),"""")","타락한 힘을 통해서 고정 데미지를 넣는 딜러, 하지만 7턴이 지나면 스스로 소멸함",
CHR_025,CHR_025_NAME,CHR_025_DESC,CHR_025_STORY,CHR_025_SPECIES,,SEA,CHARGER,8,8,5,4,5,GRP_025,RES_CHR_025,"=IFERROR(VLOOKUP($B28,string!$A:$B,2,FALSE),"""")",강한 공격 / 공격 상승 버프 가능,
CHR_026,CHR_026_NAME,CHR_026_DESC,CHR_026_STORY,CHR_026_SPECIES,,SEA,GUARDIAN,9,4,8,6,3,GRP_026,RES_CHR_026,"=IFERROR(VLOOKUP($B29,string!$A:$B,2,FALSE),"""")",흡수능력을 지닌 탱킹딜러,
CHR_027,CHR_027_NAME,CHR_027_DESC,CHR_027_STORY,CHR_027_SPECIES,,LAND,HUNTER,7,7,4,3,9,GRP_027,RES_CHR_027,"=IFERROR(VLOOKUP($B30,string!$A:$B,2,FALSE),"""")",방어능력은 낮지만 빠른 이동속도와 높은 공격력을 가진 딜러 로켓몬,
CHR_028,CHR_028_NAME,CHR_028_DESC,CHR_028_STORY,CHR_028_SPECIES,,SEA,HEALER,6,6,6,9,3,GRP_028,RES_CHR_028,"=IFERROR(VLOOKUP($B31,string!$A:$B,2,FALSE),"""")","힐, 상태이상 부여 등 서포터",
CHR_029,CHR_029_NAME,CHR_029_DESC,CHR_029_STORY,CHR_029_SPECIES,,LAND,CHARGER,5,6,5,6,8,GRP_029,RES_CHR_029,"=IFERROR(VLOOKUP($B32,string!$A:$B,2,FALSE),"""")",높은 이동속도를 바탕으로 균형잡힌 밸런스를 지닌 로켓몬,
CHR_030,CHR_030_NAME,CHR_030_DESC,CHR_030_STORY,CHR_030_SPECIES,,LAND,ASSASSIN,6,8,4,3,9,GRP_030,RES_CHR_030,"=IFERROR(VLOOKUP($B33,string!$A:$B,2,FALSE),"""")",체력이 낮지만 속도가 빠르고 공격력이 높은 사냥꾼 로캣몬,
CHR_031,CHR_031_NAME,CHR_031_DESC,CHR_031_STORY,CHR_031_SPECIES,,LAND,HUNTER,7,8,3,3,9,GRP_031,RES_CHR_031,"=IFERROR(VLOOKUP($B34,string!$A:$B,2,FALSE),"""")","빠른 속도와 준수한 체력과 공격력, 대신 맷집이 약함",
CHR_032,CHR_032_NAME,CHR_032_DESC,CHR_032_STORY,CHR_032_SPECIES,,AIR,HUNTER,6,9,3,3,9,GRP_032,RES_CHR_032,"=IFERROR(VLOOKUP($B35,string!$A:$B,2,FALSE),"""")",빠른 속도 / 혼란 / 확실한 한방이 있는 공격,
CHR_033,CHR_033_NAME,CHR_033_DESC,CHR_033_STORY,CHR_033_SPECIES,,LAND,GUARDIAN,9,5,9,3,4,GRP_033,RES_CHR_033,"=IFERROR(VLOOKUP($B36,string!$A:$B,2,FALSE),"""")",물리 하드 탱커,
CHR_034,CHR_034_NAME,CHR_034_DESC,CHR_034_STORY,CHR_034_SPECIES,,LAND,CLOSER,9,8,7,3,3,GRP_034,RES_CHR_034,"=IFERROR(VLOOKUP($B37,string!$A:$B,2,FALSE),"""")","마법에 약하고 느리지만, 높은 체력과 공격력 물리 방어력",
CHR_035,CHR_035_NAME,CHR_035_DESC,CHR_035_STORY,CHR_035_SPECIES,,SEA,TRICKSTER,5,6,4,6,9,GRP_035,RES_CHR_035,"=IFERROR(VLOOKUP($B38,string!$A:$B,2,FALSE),"""")","약한 내구, 빠른 속도로 치고 빠지며 적을 방해하는 트릭스터.",
CHR_036,CHR_036_NAME,CHR_036_DESC,CHR_036_STORY,CHR_036_SPECIES,,LAND,TRICKSTER,8,5,6,7,4,GRP_036,RES_CHR_036,"=IFERROR(VLOOKUP($B39,string!$A:$B,2,FALSE),"""")",체력과 방어력이 높지만 속도가 낮은 탱킹형 로캣몬,
CHR_037,CHR_037_NAME,CHR_037_DESC,CHR_037_STORY,CHR_037_SPECIES,,SEA,ASSASSIN,6,3,4,8,9,GRP_037,RES_CHR_037,"=IFERROR(VLOOKUP($B40,string!$A:$B,2,FALSE),"""")","단일 적 디버프, 처형",
CHR_038,CHR_038_NAME,CHR_038_DESC,CHR_038_STORY,CHR_038_SPECIES,,AIR,ASSASSIN,3,9,5,4,9,GRP_038,RES_CHR_038,"=IFERROR(VLOOKUP($B41,string!$A:$B,2,FALSE),"""")",빠른 속도와 높은 공격력으로 낮은 체력을 보완하는 로켓몬(트레이서),
CHR_039,CHR_039_NAME,CHR_039_DESC,CHR_039_STORY,CHR_039_SPECIES,,AIR,ASSASSIN,6,9,3,3,9,GRP_039,RES_CHR_039,"=IFERROR(VLOOKUP($B42,string!$A:$B,2,FALSE),"""")",후반 한방을 노리는 랭크업형 스위퍼(도파민 첨가),
CHR_040,CHR_040_NAME,CHR_040_DESC,CHR_040_STORY,CHR_040_SPECIES,,LAND,CLOSER,9,4,7,7,3,GRP_040,RES_CHR_040,"=IFERROR(VLOOKUP($B43,string!$A:$B,2,FALSE),"""")",공격 전환형 탱커,
CHR_041,CHR_041_NAME,CHR_041_DESC,CHR_041_STORY,CHR_041_SPECIES,,SEA,HUNTER,5,9,5,4,7,GRP_041,RES_CHR_041,"=IFERROR(VLOOKUP($B44,string!$A:$B,2,FALSE),"""")",강한 공격력과 속도를 가져 1대1에서 강한 선공권을 가지지만 전투 연속성이 떨어지는 로캣몬,
CHR_042,CHR_042_NAME,CHR_042_DESC,CHR_042_STORY,CHR_042_SPECIES,,AIR,HEALER,5,3,4,9,9,GRP_042,RES_CHR_042,"=IFERROR(VLOOKUP($B45,string!$A:$B,2,FALSE),"""")",공격보다는 다양한 버프를 주는 서포터,
