스트링 ID,국문,영문
SKL_1027_DESC,"적 하나에게 피해를 입히고, {e1_turns}턴간 그 대상의 속도를 {e1_amount_abs} 감소시킨 뒤 출혈을 부여합니다. 출혈은 매 라운드 종료 시 {e2_amount}의 고정 피해를 {e2_turns}턴간 입힙니다.",
SKL_5027_NAME,거미줄 속박,
SKL_5027_DESC,"적 하나에게 강한 피해를 입히고, {e1_turns}턴간 그 대상의 속도를 {e1_amount_abs} 감소시킨 뒤 출혈을 부여합니다. 출혈은 매 라운드 종료 시 {e2_amount}의 고정 피해를 {e2_turns}턴간 입힙니다.",
SKL_7027_NAME,카우걸 소녀!!,
SKL_7027_DESC,대상이 해로운 상태를 하나라도 두르고 있으면 그 대상에게 가하는 피해량이 {e1_mult}배가 됩니다.,
CHR_027_NAME,연나연,
CHR_027_DESC,목장을 운영하는 거미 소녀,
CHR_027_STORY,목장 운영비가 너무 많이 들어 로캣에서 우승해서 운영비를 충당할거야!,
CHR_027_SPECIES,깡충거미,
SKL_1028_NAME,뺨때리기,
SKL_1028_DESC,"적 하나에게 강한 피해를 입히고, 체력이 가장 낮은 아군에게 {e1_turns}턴간 최대 체력의 {e1_ratio:pct}만큼 흡수하는 보호막을 부여합니다.",
SKL_5028_NAME,다정한 인사,
SKL_5028_DESC,{e1_turns}턴간 아군 전체의 공격력을 {e1_amount} 증가시킵니다.,
SKL_7028_NAME,유영,
SKL_7028_DESC,매 라운드 개시 시 보호막을 두른 아군의 공격력을 {e1_turns}턴간 {e1_amount} 증가시킵니다.,
CHR_028_NAME,연화,Serenfin
CHR_028_DESC,온화하고 차분한 비단잉어 로캣몬,
CHR_028_STORY,"아침 햇살이 비치는 시간, 유유히 수면 위로 올라와 햇빛을 받는 것을 좋아한다. 아름답고 신비로운 자태에 넋을 잃고 가까이서 보려 몸을 기울이다 물에 빠진 이들이 셀 수 없이 많다고 전해진다.",
CHR_028_SPECIES,비단잉어,
SKL_1029_NAME,칼등치기,
SKL_1029_DESC,"적 하나를 {e1_hits}회 연속으로 타격하며, 타격마다 약한 피해를 입힙니다.",
SKL_5029_NAME,한 순간의 달빛,
