효과 ID,효과 그룹,순서,키워드,등급,대상 스탯,얹는 편,확률,조건,조건 인자,역방향,트리거,한 번만,(초안),(원안),(면역 예외)
50123,EFG_5012,2,shield,7,,self,,,,,,,,"물리 방어가 약간 감소하는 대신, 공격력이 크게 증가한다.",
10141,EFG_1014,1,silence,1,,,,,,,,,초안,적 한명을 지정하여 3턴간 일반기를 사용할 수 없게 만든다. 상대 로켓몬 중 속박 중인 로켓몬이 1기 이상 존재한다면 사용 불가,
50141,EFG_5014,1,silence,1,,,,,,,,,초안,속박' 기술의 사용 제한이 3턴간 '1기 이상' 에서 '2기 이상'으로 완화된다.,
50142,EFG_5014,2,boost,1,spd,,,,,true,,,초안,속박' 기술의 사용 제한이 3턴간 '1기 이상' 에서 '2기 이상'으로 완화된다.,
10151,EFG_1015,1,bleed,1,,,,,,,,,초안,"적 1명에게 물리피해를준다, 30%의 확률로 출혈을 부여한다",
50161,EFG_5016,1,shield,4,,,,,,,,,초안 · 예산 밖 amplify,2턴간 자신이 받는 피해 30% 감소,
50162,EFG_5016,2,boost,1,atk,,,,,,,,역할군 개편,2턴간 자신이 받는 피해 30% 감소,
70161,EFG_7016,1,amplify,1,,,,self_shielded,,,always,,초안,턴마다 잃은 체력의 5% 회복,
50171,EFG_5017,1,heal,3,,,,,,,,,초안,이번턴에 공격당하면 데미지를 받는 대신 데미지의 절반만큼 회복한다,
50172,EFG_5017,2,shield,6,,,,,,,,,역할군 개편,이번턴에 공격당하면 데미지를 받는 대신 데미지의 절반만큼 회복한다,
70171,EFG_7017,1,temper,2,,,,,,,always,,초안,상성 배율을 절반만 받는다. 유리도 불리도 덜 탄다,
50181,EFG_5018,1,amplify,2,,,,target_hp_below,0.5,,,,초안,"적 1명 대상으로 공격, '대상 체력 낮음' 일 경우 매우 높은 피해",
50191,EFG_5019,1,bleed,3,,,,,,,,,초안,5초간 좁은 틈을 통과할수있다.,
10201,EFG_1020,1,pierce,2,,,,,,,,,초안,적 1명에게 단일 관통공격,
70201,EFG_7020,1,boost,2,spd,,,,,y,round_start,,초안,속도 차이에 의한 데미지 배율 증 가감(주는 데미지 -30%~+30%)(적 속도-스위피 속도 3 ~ -3),
10211,EFG_1021,1,bleed,2,,,,,,,,,초안,중독 데미지,
50211,EFG_5021,1,pierce,2,,,,,,,,,초안,단일 강력한 데미지,
10231,EFG_1023,1,boost,1,spd,,,,,y,,,초안,적을 공격하고 적중한 상대의 스피드를 감소시킨다.,
10232,EFG_1023,2,shield,4,,self,,,,,,,,적을 공격하고 적중한 상대의 스피드를 감소시킨다.,
50231,EFG_5023,1,stun,1,,,50,,,,,,초안 · 예산 밖 stun,"적 전체에게 기절, 아군 전체에게 쇠약",
70231,EFG_7023,1,amplify,1,,,,skill_element,WILD,y,always,,초안,야성 타입 공격은 0.7배로 신비 타입 공격은 1.3배로 받는다.,
70251,EFG_7025,1,heal,3,,,,,,,on_fall,,초안,적이 하나 없어질 시 체력의 15% 회복,
10261,EFG_1026,1,drain,1,,,,,,,,,초안,대상 기본 공격후 10% 피해 흡혈,
50271,EFG_5027,1,boost,2,spd,,,,,y,,,초안,거미줄을 발사하여 적에게 피해를 주고 속도를 2 감소시킨다,
70272,EFG_7027,1,amplify,1,,,,target_hexed,,,always,,초안,자신보다 속도가 낮은 적에게 받는 데미지 40% 감소,
50281,EFG_5028,1,boost,4,atk,,,,,,,,초안,아군 하나를 지정하여 회복시킨다,
50291,EFG_5029,1,boost,2,def,,,,,true,,,초안,검을 발도하여 피해를 주고 방어력을 감소 시킨다.,
50301,EFG_5030,1,charge,1,,,,,,,,,초안,적의 목덜미를 정확히 관통시켜 1.6배의 피해를 준다(투지 5 소모),
50302,EFG_5030,2,pierce,1,,,,,,,,,초안,적의 목덜미를 정확히 관통시켜 1.6배의 피해를 준다(투지 5 소모),
50312,EFG_5031,2,multihit,2,,,,,,,,,3단계 복원,적 1명을 1~3회 연속으로 찔러 물리 피해를 입힌다,
10321,EFG_1032,1,multihit,2,,,,,,,,,초안 · 예산 밖 multihit,하나의 적을 3번 공격한다,
50321,EFG_5032,1,blind,1,,,,,,,,,초안 · 예산 밖 blind,모든 적에게 1턴의 실명을 준다,
70321,EFG_7032,1,bleed,1,,,,,,,round_start,,초안,40% 확률로 체력의 5% 피해를 주는 출혈을 입힘,
10331,EFG_1033,3,boost,3,def,self,,,,,,,초안,아군 전체의 물리 방어력 1랭크 증가,
10341,EFG_1034,1,mark,2,,,,,,,,,초안,적 1명에게 물리 피해를 입힌다. 적에게 표식 2를 부여한다.,
10352,EFG_1035,1,mark,2,,,,,,,,,초안,"기본 공격력 x0.5. 적 1명 지정 표식, 허약, 침묵 중 랜덤 부여",
10353,EFG_1035,2,boost,2,atk,,,,,y,,,초안,"기본 공격력 x0.5. 적 1명 지정 표식, 허약, 침묵 중 랜덤 부여",
70351,EFG_7035,1,shield,6,,self,,,,,battle_start,,초안,처음 맞은 공격의 대미지를 50%로 감소,
10361,EFG_1036,1,heal,3,,self,,,,,,,초안,대상에게 기본 공격력이 0.9배 피해를 주고 현재 체력의 5% 회복한다,
50411,EFG_5041,1,haste,1,,self,,,,,,,초안,속도에 관계없이 반드시 선공한다. 2회 연속으로 공격한다,
50412,EFG_5041,2,multihit,1,,,,,,,,,초안,속도에 관계없이 반드시 선공한다. 2회 연속으로 공격한다,
10422,EFG_1042,1,heal,2,,ally_weakest,,,,,,,정화만으로는 값을 못 했다,아군 1명 대상의 상태이상을 정화한다,
10423,EFG_1042,2,charge,1,,,,,,,,,치유자 셋 QA,,
10031,EFG_1003,1,charge,1,,,,,,,,,치유자 셋 QA,,
50421,EFG_5042,1,silence,2,,,,,,,,,초안,적 모두에게 침묵을 2턴동안 준다 (투지5 소모),
70421,EFG_7042,1,heal,2,,,,,,,round_start,,초안,내 체력이 50%이하 도달시 가장 체력이 낮은 아군체력30%를 즉시 회복,
29011,EFG_2901,1,bleed,1,,,,,,,,,공용,강사가 만든 공용 일반기. 여러 캐릭터가 함께 쓴다,
29031,EFG_2903,1,execute,1,,,,,,,,,공용,강사가 만든 공용 일반기. 여러 캐릭터가 함께 쓴다,
29041,EFG_2904,1,mark,1,,,,,,,,,공용,강사가 만든 공용 일반기. 여러 캐릭터가 함께 쓴다,
29061,EFG_2906,1,execute,1,,,,,,,,,공용,강사가 만든 공용 일반기. 여러 캐릭터가 함께 쓴다,
29071,EFG_2907,1,drain,1,,,,,,,,,공용,강사가 만든 공용 일반기. 여러 캐릭터가 함께 쓴다,
29091,EFG_2909,1,execute,1,,,,,,,,,공용,강사가 만든 공용 일반기. 여러 캐릭터가 함께 쓴다,
29101,EFG_2910,1,heal,4,,,,,,,,,공용,강사가 만든 공용 일반기. 여러 캐릭터가 함께 쓴다,
29102,EFG_2910,2,cleanse,1,,,,,,,,,공용,강사가 만든 공용 일반기. 여러 캐릭터가 함께 쓴다,
29111,EFG_2911,1,boost,2,atk,,,,,,,,공용,강사가 만든 공용 일반기. 여러 캐릭터가 함께 쓴다,
70042,EFG_7004,1,immune,1,,,,hp_below,0.5,,round_start,,,기절을 제외한 모든 디버프를 무시한다,stun
10133,EFG_1013,3,boost,1,spd,self,,,,y,,,,"적을 흡혈하여 공격력 디버프-1,
자신 속도 -1 자신 힐",
10134,EFG_1013,1,drain,1,,,,,,,,,3단계 복원,적을 흡혈하여 공격력 디버프-1 / 자신 속도 -1 자신 힐,
70181,EFG_7018,3,amplify,1,,,,faster_than_target,,y,always,,,자신보다 속도가 낮은 적에게 공격 받을 시 받는 피해량 0.8배,
50331,EFG_5033,3,boost,8,def,self,,,,,,,,일시적으로 자신의 방어력과 공격력을 전환해 공격한다,
70332,EFG_7033,1,endure,1,,,,,,,on_hurt,TRUE,,기절에 달하는 피해를 입을 경우 1회는 버틴다,
70333,EFG_7033,2,heal,5,,,,,,,on_endure,,,기절에 달하는 피해를 입을 경우 1회는 버틴다,
70412,EFG_7041,1,endure,1,,,,,,,round_start,,,기절에 달하는 피해를 입을 경우 1회는 버틴다,
50392,EFG_5039,2,multihit,2,,,,,,,,,,자신의 랜덤 능력치 1랭크 다운 후 랜덤 단일 적에게 공격력의 65%만큼의 피해'를 랜덤 1~4회 반복(못 멈춤),
10051,EFG_1005,1,boost,1,atk,self,,,,,,,3단계 복원,"적 1명에게 높은 피해, 자신의 공격 1 증가",
10171,EFG_1017,1,boost,2,atk,,,,,y,,,3단계 복원,적중당한 상대의 공격력을 1 깍는다,
10172,EFG_1017,2,charge,1,,,,,,,,,셰일 QA,,
10221,EFG_1022,3,bleed,1,,self,,,,,,,3단계 복원,턴당 공격력의 25% 만큼의 데미지를 3턴 동안 준다,
70031,EFG_7003,1,immune,1,,,,,,,round_start,,3단계 대안,몸의 점액이 날카로운 날붙이 공격으로부터 몸을 보호한다,
70211,EFG_7021,1,amplify,1,,,,target_has,bleed,,always,,3단계 대안,중독된 적 추가 데미지,
70121,EFG_7012,1,silence,1,,,,,,,round_start,,라운드마다로 옮겼다,전투 시작 시 모든 적에게 침묵 2 부여,
70341,EFG_7034,1,amplify,1,,,,target_weaker,,,always,,3단계 대안,본인 체력보다 상대 체력이 낮으면 공격력 1.2배 상승,
70191,EFG_7019,1,amplify,2,,,,faster_than_target,,y,always,,상시 배율로 접었다,공격속도가 느린 공격은 몸을 이루는 벌레가 흩어져서 피한다,
70291,EFG_7029,1,amplify,1,,,,round_after,5,,always,,상시 배율로 접었다,밤에 전투하는 경우 모든 능력치가 +1 상승,
50051,EFG_5005,1,amplify,2,,,,hp_below,0.5,,,,상시 배율로 접었다,적 1명에게 지금까지 받은 대미지 만큼 공격,
70091,EFG_7009,1,charge,1,,,,,,,round_start,,상시 배율로 접었다,투지를 회복하는 로캣몬은 회복한 투지만큼 체력 회복,
70092,EFG_7009,2,heal,3,,,,sp_above,4,,round_start,,상시 배율로 접었다,투지를 회복하는 로캣몬은 회복한 투지만큼 체력 회복,
70391,EFG_7039,1,boost,1,atk,,,hp_below,0.5,,round_start,,기존 어휘로 접었다,자신이 받은 랭크 변동을 반대로 적용한다,
20021,EFG_2002,1,boost,1,atk,,,,,y,,,역할군 개편,,
50251,EFG_5025,1,execute,3,,,,,,,,,역할군 개편,,
20191,EFG_2019,1,shield,4,,,,,,,,,역할군 개편,,
20192,EFG_2019,2,boost,2,atk,,,,,,,,역할군 개편,,
20291,EFG_2029,1,boost,2,atk,,,,,,,,역할군 개편,,
10291,EFG_1029,1,multihit,1,,,,,,,,,역할군 개편,,
20151,EFG_2015,1,bleed,2,,,,,,,,,역할군 개편,,
50151,EFG_5015,1,amplify,2,,,,target_bleeding,,,,,역할군 개편,,
70151,EFG_7015,1,amplify,1,,,,target_bleeding,,,always,,역할군 개편,,
20111,EFG_2011,1,boost,2,def,self,,,,y,,,역할군 개편,,
70111,EFG_7011,1,endure,1,,,,,,,round_start,,역할군 개편,,
70112,EFG_7011,2,shield,1,,,,,,,on_endure,,역할군 개편,,
50261,EFG_5026,1,boost,1,atk,,,,,y,,,역할군 개편,적 사살시 자신에게 체력 10%회복 공격력 1 방어력 1 속도 1 부여,
20331,EFG_2033,1,shelter,2,,,,,,,,,역할군 개편,,
20332,EFG_2033,2,shield,4,,self,,,,,,,역할군 개편,,
20231,EFG_2023,1,taunt,2,,self,,,,,,,역할군 개편,,
20261,EFG_2026,1,taunt,2,,self,,,,,,,역할군 개편,,
20031,EFG_2003,1,shield,4,,,,,,,,,역할군 개편,,
20071,EFG_2007,1,shield,4,,,,,,,,,역할군 개편,,
20072,EFG_2007,2,taunt,2,,,,,,,,,역할군 개편,,
20121,EFG_2012,1,taunt,2,,,,,,,,,역할군 개편,,
20122,EFG_2012,2,boost,4,def,,,,,,,,역할군 개편,,
10161,EFG_1016,1,shield,1,,self,,,,,,,역할군 개편,,
20041,EFG_2004,1,heal,4,,,,,,,,,역할군 개편,,
20042,EFG_2004,2,cleanse,1,,,,,,,,,역할군 개편,,
20091,EFG_2009,1,gift,1,,,,,,,,,역할군 개편,,
20092,EFG_2009,2,heal,4,,,,,,,,,역할군 개편,,
20171,EFG_2017,1,shield,4,,,,,,,,,역할군 개편,,
20281,EFG_2028,1,heal,5,,,,,,,,,역할군 개편,,
20421,EFG_2042,1,cleanse,1,,,,,,,,,역할군 개편,,
20422,EFG_2042,2,heal,3,,,,,,,,,역할군 개편,,
10281,EFG_1028,1,shield,3,,ally_weakest,,,,,,,역할군 개편,,
20391,EFG_2039,1,boost,2,atk,,,,,,,,역할군 개편,,
20201,EFG_2020,1,haste,1,,self,,,,,,,역할군 개편,,
20202,EFG_2020,2,unbind,1,,self,,,,,,,역할군 개편,,
20381,EFG_2038,1,boost,3,atk,self,,,,,,,역할군 개편,,
50381,EFG_5038,2,unbind,1,,self,,,,,,,역할군 개편,,
20301,EFG_2030,1,boost,2,atk,self,,,,,,,역할군 개편,,
20302,EFG_2030,2,unbind,3,,self,,,,,,,역할군 개편,,
50303,EFG_5030,3,execute,2,,,,,,,,,역할군 개편,,
10372,EFG_1037,1,boost,1,mag,,,,,y,,,역할군 개편,,
10373,EFG_1037,2,boost,1,mag,self,,,,,,,역할군 개편,,
20371,EFG_2037,1,boost,3,mag,,,,,,,,역할군 개편,,
50371,EFG_5037,1,gap,2,,,,,,,,,역할군 개편,,
50372,EFG_5037,2,unbind,1,,self,,,,,,,역할군 개편,,
70052,EFG_7005,1,charge,1,,,,,,,on_kill,,역할군 개편,쓰러뜨리면 곧장 다음을 쫓는다,
70053,EFG_7005,2,haste,1,,,,,,,on_kill,,역할군 개편,쓰러뜨리면 곧장 다음을 쫓는다,
20051,EFG_2005,1,bleed,1,,,,,,,,,역할군 개편,,
20311,EFG_2031,1,silence,1,,,,,,,,,역할군 개편,,
20312,EFG_2031,2,bleed,1,,,,,,,,,역할군 개편,,
50313,EFG_5031,3,bleed,1,,,,,,,,,역할군 개편,,
70314,EFG_7031,1,bleed,1,,,,,,,on_death,,역할군 개편,죽으며 물어뜯어 상처를 남긴다,
10272,EFG_1027,1,boost,1,spd,,,,,y,,,역할군 개편,,
20271,EFG_2027,1,boost,1,spd,,,,,y,,,역할군 개편,,
50272,EFG_5027,2,bleed,2,,,,,,,,,역할군 개편,,
20321,EFG_2032,1,boost,2,atk,,,,,,,,역할군 개편,,
20211,EFG_2021,1,bleed,1,,,,,,,,,역할군 개편,,
20411,EFG_2041,1,multihit,1,,,,,,,,,역할군 개편,,
20412,EFG_2041,2,recoil,3,,,,,,,,,역할군 개편,,
50413,EFG_5041,3,desperate,2,,,,,,,,,역할군 개편,,
10052,EFG_1005,2,silence,1,,,,,,,,,역할군 개편,,
10273,EFG_1027,2,bleed,1,,,,,,,,,역할군 개편,,
20011,EFG_2001,1,toll,2,,self,,,,,,,역할군 개편,,
20012,EFG_2001,2,shield,4,,,,,,,,,역할군 개편,,
50012,EFG_5001,2,swell,3,,,,,,,,,역할군 개편,,
70012,EFG_7001,1,shield,3,,,,attacker_type,AIR,,on_hurt,,역할군 개편,공 타입에게 맞고 살아남으면 보호막,
20221,EFG_2022,1,bleed,2,,self,,,,,,,역할군 개편,,
20222,EFG_2022,2,shield,6,,,,,,,,,역할군 개편,,
50221,EFG_5022,1,offering,1,,,,,,,,,역할군 개편,,
10362,EFG_1036,2,boost,2,atk,,,,,y,,,역할군 개편,,
20361,EFG_2036,1,devour,2,,,,,,,,,역할군 개편,,
50363,EFG_5036,1,drain,3,,,,,,,,,역할군 개편,,
50364,EFG_5036,2,devour,2,,,,,,,,,역할군 개편,,
70362,EFG_7036,1,spite,2,,,,,,,always,,역할군 개편,걸린 해로운 상태만큼 아프게 친다,
10242,EFG_1024,2,silence,1,,,,,,,,,역할군 개편,,
20241,EFG_2024,2,stun,1,,,,,,,,,역할군 개편,,
10354,EFG_1035,3,boost,2,spd,,,,,y,,,역할군 개편,,
70352,EFG_7035,2,stun,1,,,,,,,on_death,,역할군 개편,죽으면 판이 한 번 멎는다,
20141,EFG_2014,1,boost,1,spd,,,,,y,,,역할군 개편,,
70142,EFG_7014,1,bypass,1,,,,,,,always,,역할군 개편,보호막을 지나쳐 체력을 깎는다,
20353,EFG_2035,1,mark,2,,,,,,,,,역할군 개편,,
20354,EFG_2035,2,boost,2,atk,,,,,y,,,역할군 개편,,
20355,EFG_2035,3,boost,2,spd,,,,,y,,,역할군 개편,,
50358,EFG_5035,1,stun,1,,,,,,,,,역할군 개편,,
50359,EFG_5035,2,shield,4,,ally,,,,,,,역할군 개편,,
10355,EFG_1035,4,blight,2,,,,,,,,,역할군 개편,,
20356,EFG_2035,4,blight,2,,,,,,,,,역할군 개편,,
10403,EFG_1040,1,shield,3,,,,,,,,,역할군 개편,,
10404,EFG_1040,2,boost,1,def,,,,,,,,역할군 개편,,
20401,EFG_2040,1,boost,2,atk,,,,,,,,역할군 개편,,
70403,EFG_7040,1,whet,5,mag,self,,,,,round_start,,역할군 개편,라운드마다 위엄이 쌓인다,
20101,EFG_2010,1,mark,1,,,,,,,,,역할군 개편,,
50102,EFG_5010,1,multihit,2,,,,,,,,,역할군 개편,,
70104,EFG_7010,1,rally,1,,,,,,,always,,역할군 개편,아군이 받쳐 줄수록 세진다,
20081,EFG_2008,1,blight,2,,,,,,,,,역할군 개편,,
50082,EFG_5008,1,blight,3,,,,,,,,,역할군 개편,,
20341,EFG_2034,1,execute,1,,,,,,,,,역할군 개편,,
50342,EFG_5034,1,bleed,1,,,,,,,,,역할군 개편,,
50063,EFG_5006,1,siege,2,,,,,,,,,역할군 개편,,
20131,EFG_2013,1,drain,3,,,,,,,,,역할군 개편,,
20132,EFG_2013,3,unbind,1,,self,,,,,,,역할군 개편,,
50133,EFG_5013,3,bypass,1,,,,,,,,,역할군 개편,,
70085,EFG_7008,1,amplify,1,,,,hp_full,,,always,,역할군 개편,성할 때만 무겁다,
50134,EFG_5013,1,siege,2,,,,,,,,,역할군 개편,,
70133,EFG_7013,1,boost,2,atk,,,,,y,on_strike,,역할군 개편,문 자리에 힘이 빠진다,
10135,EFG_1013,2,siege,1,,,,,,,,,역할군 개편,,
20133,EFG_2013,2,siege,1,,,,,,,,,역할군 개편,,
70244,EFG_7024,1,retire,1,,,,round_after,8,,round_start,,,,
10332,EFG_1033,1,blight,1,,,,,,,,,,,
10333,EFG_1033,2,mark,1,,,,,,,,,,,
50333,EFG_5033,2,mark,2,,,,,,,,,,,
50334,EFG_5033,4,boost,8,hp,self,,,,,,,,,
50382,EFG_5038,1,pierce,2,,,,,,,,,,,
10262,EFG_1026,2,blight,1,,,,,,,,,,,
50262,EFG_5026,2,drain,1,,,,,,,,,,,
70264,EFG_7026,1,whet,5,atk,self,,,,,on_hurt,,,,
70265,EFG_7026,2,whet,5,def,self,,,,,on_hurt,,,,
70224,EFG_7022,2,linger,1,,,,,,,always,,,,
50247,EFG_5024,1,stun,1,,,,,,,,,,,
70225,EFG_7022,1,clot,2,,,,,,,always,,,,
20242,EFG_2024,3,charge,4,,,,,,,,,,,
50022,EFG_5002,2,execute,2,,,,,,,,,,,
70022,EFG_7002,1,haste,2,,,,,,,battle_start,,,,
70023,EFG_7002,2,zeal,2,,,,,,,always,,,,
70152,EFG_7015,2,renew,1,,,,,,,always,,,,
10243,EFG_1024,1,pierce,3,,,,,,,,,,,
20243,EFG_2024,1,siege,2,,,,,,,,,,,
70183,EFG_7018,1,unbind,4,,self,,,,,battle_start,,,,
70184,EFG_7018,2,amplify,1,,,,faster_than_target,,,always,,,,
20161,EFG_2016,1,shield,3,,ally,,,,,,,,,
10222,EFG_1022,1,pierce,2,,,,,,,,,,,
10223,EFG_1022,2,drain,2,,,,,,,,,,,
70372,EFG_7037,1,whet,2,mag,self,,,,,round_start,,,,
10102,EFG_1010,1,multihit,1,,,,,,,,,,,
20102,EFG_2010,2,bypass,1,,,,,,,,,,,
50124,EFG_5012,1,boost,6,mag,self,,,,,,,,,
50335,EFG_5033,1,siege,3,,,,,,,,,,,
10072,EFG_1007,1,boost,2,def,,,,,y,,,,,
70382,EFG_7038,1,shield,5,,self,,,,,battle_start,,,,
70383,EFG_7038,2,shield,5,,self,,,,,on_kill,,,,
10192,EFG_1019,1,bleed,1,,,,,,,,,,,
70192,EFG_7019,2,drain,2,,,,target_bleeding,,,on_strike,,,,
70282,EFG_7028,1,boost,2,atk,ally,,target_has,shield,,round_start,,,,
20062,EFG_2006,1,avenge,3,,,,,,,,,,,
70066,EFG_7006,1,boost,10,hp,,,ally_fell,,,on_fall,,,,
70067,EFG_7006,2,boost,10,atk,,,ally_fell,,,on_fall,,,,
70068,EFG_7006,3,boost,10,def,,,ally_fell,,,on_fall,,,,
70306,EFG_7030,1,drain,2,,,,self_boosted,,,on_strike,,,,
70307,EFG_7030,2,bleed,2,,,,self_boosted,,,on_strike,,,,
10302,EFG_1030,1,charge,1,,,,,,,,,,,
20402,EFG_2040,2,charge,2,,,,,,,,,,,
